#item+conceptum+codicem,#item+rem+i_fr+i_fra+is_latn,#item+rem+i_en+i_eng+is_latn
CMU_1:1,depuis combien ressentez-vous ces symptômes ?,about how long have these symptoms been going on?
CMU_1:2,"et toutes les douleurs thoraciques doivent être traitées de cette manière, en particulier à votre âge",and all chest pain should be treated this way especially with your age
CMU_1:3,et surtout si vous avez de la fièvre,and along with a fever
CMU_1:4,et votre cholestérol et votre tension doivent également être contrôlés,and also needs to be checked your cholesterol blood pressure
CMU_1:5,et avez-vous de la fièvre actuellement ?,and are you having a fever now?
CMU_1:6,et avez-vous l’un des symptômes suivants en plus de vos douleurs thoraciques ?,and are you having any of the following symptoms with your chest pain
CMU_1:7,et votre nez coule-t-il ?,and are you having a runny nose?
CMU_1:8,ressentez-vous des douleurs thoraciques actuellement?,and are you having this chest pain now?
CMU_1:9,avez-vous également des difficultés à respirer?,and besides do you have difficulty breathing
CMU_1:10,pouvez-vous me dire si vous avez d'autres symptômes ?,and can you tell me what other symptoms are you having along with this?
CMU_1:11,et la douleur se déplace-t-elle depuis votre poitrine ?,and does this pain move from your chest?
CMU_1:12,et buvez beaucoup de liquides,and drink lots of fluids
CMU_1:13,et combien avez-vous eu de fièvre?,and how high has your fever been
CMU_1:14,et je tousse aussi,and i have a cough too
CMU_1:15,et j’ai un petit rhume et je tousse,and i have a little cold and a cough
CMU_1:16,et j’ai vraiment très mal à la poitrine aujourd’hui,and i'm really having some bad chest pain today
CMU_1:17,La période actuelle est-elle propice à votre rhume des foins?,and is this the right time for your hay fever
CMU_1:18,et j’ai ces douleurs dans la poitrine,and it get the chest pain
CMU_1:19,et je pense que j’ai un peu de fièvre,and i think i have a little bit of a fever
CMU_1:20,pouvez-vous m'indiquer où vous ressentez la douleur thoracique ?,and i want you to describe where the chest pain is
CMU_1:21,et elle a à peu près les mêmes symptômes,and she is sorta have the same symptoms
CMU_1:22,"et dites-moi, quels symptômes vous avez actuellement ?",and tell me what symptoms are you having now?
CMU_1:23,et ils ont un peu de fièvre aussi,and they're having some fevers as well
CMU_1:24,et avec vos antécédents de diabète,and with your history of diabetes
CMU_1:25,et vous savez que j’ai l’impression que ma poitrine va s’écraser,and you know it feels like my chest is like gonna crush
CMU_1:26,et vous savez que des gens me toussent dessus tout le temps,and you know people cough on me all the time
CMU_1:27,et vous avez des douleurs dans la poitrine,and you're having chest pain
CMU_1:28,et vos symptômes ne disparaissent pas en cinq jours,and your symptoms do not go away in five days
CMU_1:29,et vous avez dit ressentir une pression dans la poitrine,and you said this is a pressure in your chest
CMU_1:30,"Des cas de problème cardiaque, de pathologie cardiaque, de crise cardiaque, de taux élevé de cholestérol ou de tension artérielle élevée dans la famille ?",anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure
CMU_1:31,remarquez-vous d’autres symptômes ou problèmes en plus des douleurs musculaires ?,any other symptoms or problems that you notice with the muscle aches?
CMU_1:32,une douleur aiguë du côté gauche de votre poitrine ?,any sharp pain on your left side of your chest?
CMU_1:33,y a-t-il d’autres personnes malades chez vous avec les mêmes symptômes ?,are there other people sick as you at home with your same symptoms?
CMU_1:34,éprouvez-vous des difficultés pour respirer actuellement?,are you having any difficulty breathing now
CMU_1:35,avez-vous d’autres symptômes ?,are you having any other symptoms?
CMU_1:36,êtes-vous essoufflé(e) ?,are you having any shortness of breath?
CMU_1:37,avez-vous encore des douleurs dans la poitrine?,are you still having the chest pain
CMU_1:38,parce que c’est la saison de la grippe,because this is flu season
CMU_1:39,"outre le diabète, avez-vous d’autres problèmes ou maladies graves?",besides the diabetes do you have other problems or important diseases?
CMU_1:40,mais nous ne devrions pas non plus écarter la possibilité d'une douleur thoracique liée à un problème cardiaque,but also we shouldn't be put aside for the heart cardiac origin chest pain
CMU_1:41,mais cette douleur dans la poitrine est un problème plus important maintenant,but a more important problem now is this chest pain
CMU_1:42,mais si vous toussez,but if you have the cough
CMU_1:43,mais j’ai des difficultés à respirer,but i have difficulty breathing
CMU_1:44,mais je sais que beaucoup de personnes toussent sur moi,but i know lot of people cough on me
CMU_1:45,mais nous devons traiter toute douleur dans la poitrine avec le plus grand soin,but we need to treat every chest pain with the utmost seriousness
CMU_1:46,"mais vous respirez normalement actuellement, n’est-ce pas ?",but you're breathing all right right now right?
CMU_1:47,parce que j’ai complètement oublié à cause de cette douleur dans la poitrine,'cause of this chest pain i totally forgot
CMU_1:48,parce qu’ils toussent,'cause they're having a cough
CMU_1:49,est-ce que vous avez l’impression qu’on vous compresse la poitrine,does it feel like somebody squeezing your chest
CMU_1:50,êtes-vous encore essoufflé(e),do still feel like shortness of breath
CMU_1:51,se plaignent-ils d’être malades ou d’avoir des symptômes similaires ?,do they complain of being sick similar symptoms?
CMU_1:52,savez-vous si vous avez des problèmes de tension ?,do you have any blood pressure problem as far as you know?
CMU_1:53,avez-vous une autre affection chronique comme de l’hypertension ou quelque chose de similaire ?,do you have any other chronic like high blood pressure or anything like that?
CMU_1:54,"avez-vous d’autres maladies, des problèmes médicaux chroniques comme le diabète ?",do you have any other diseases chronic medical problems like diabetes?
CMU_1:55,êtes-vous essoufflé(e) en plus de cette douleur dans la poitrine ?,do you have any shortness of breath with that chest pain?
CMU_1:56,avez-vous de l’hypertension ?,do you have high blood pressure?
CMU_1:57,êtes-vous essoufflé(e) en plus de cela ?,do you have some shortness of breath goes with that?
CMU_1:58,savez-vous quels symptômes elle avait ?,do you know what symptoms she was having?
CMU_1:59,vos proches ont-ils les mêmes symptômes,do your relatives have the same symptoms
CMU_1:60,voyez-vous l’image ?,do you see the image?
CMU_1:61,buvez beaucoup de liquide aujourd’hui,drink plenty of fluids today
CMU_1:62,"vous avez une toux sèche, un rhume, le nez qui coule, des vomissements, la diarrhée",have a dry cough a cold and runny nose vomiting diarrhea
CMU_1:63,cependant je fais les tests pour le diabète,however i take tests for the diabetes
CMU_1:64,cependant elle a des symptômes plutôt similaires aux miens,however she has symptoms quite similar to mine
CMU_1:65,combien avez-vous de fièvre ?,how high is your fever?
CMU_1:66,quelle est votre tension ?,how' s your blood pressure?
CMU_1:67,je ne pense pas faire de l’hypertension,i don't think i have high blood pressure
