#item+conceptum+codicem,#item+rem+i_en+i_eng+is_latn,#item+rem+i_ru+i_rus+is_cyrl
CMU_1:1,about how long have these symptoms been going on?,"о том, как долго присутствуют эти симптомы?"
CMU_1:2,and all chest pain should be treated this way especially with your age,"и все боли в грудной клетке должны лечиться таким образом, особенно с учетом вашего возраста"
CMU_1:3,and along with a fever,и вместе с высокой температурой
CMU_1:4,and also needs to be checked your cholesterol blood pressure,и также требуется проверить уровень вашего холестерина и артериального давления
CMU_1:5,and are you having a fever now?,и есть ли у вас сейчас высокая температура?
CMU_1:6,and are you having any of the following symptoms with your chest pain,и имеются ли у вас сейчас какие-либо из следующих симптомов при боли в грудной клетке
CMU_1:7,and are you having a runny nose?,и есть ли у вас насморк?
CMU_1:8,and are you having this chest pain now?,и испытываете ли вы сейчас эту боль в грудной клетке?
CMU_1:9,and besides do you have difficulty breathing,"и, кроме того, тяжело ли вам дышать"
CMU_1:10,and can you tell me what other symptoms are you having along with this?,"и можете ли вы рассказать мне, какие у вас имеются другие симптомы помимо этих?"
CMU_1:11,and does this pain move from your chest?,и перемещается ли эта боль из вашей груди?
CMU_1:12,and drink lots of fluids,и пить много жидкости
CMU_1:13,and how high has your fever been,и насколько высокой была ваша температура
CMU_1:14,and i have a cough too,и ещё у меня кашель
CMU_1:15,and i have a little cold and a cough,и у меня небольшая простуда с кашлем
CMU_1:16,and i'm really having some bad chest pain today,и у меня сегодня действительно сильная боль в грудной клетке
CMU_1:17,and is this the right time for your hay fever,"и соответствует ли это время проявлению сенной лихорадки, которой вы подвержены"
CMU_1:18,and it get the chest pain,и возникает боль в грудной клетке
CMU_1:19,and i think i have a little bit of a fever,"и я думаю, что у меня немного поднялась температура"
CMU_1:20,and i want you to describe where the chest pain is,"и я хочу, чтобы вы описали, в каком месте грудной клетки вы испытываете боль"
CMU_1:21,and she is sorta have the same symptoms,и она вроде как имеет те же симптомы
CMU_1:22,and tell me what symptoms are you having now?,"и расскажите мне, какие симптомы имеются у вас сейчас?"
CMU_1:23,and they're having some fevers as well,и у них также немного повышенная температура
CMU_1:24,and with your history of diabetes,и с вашей историей диабета
CMU_1:25,and you know it feels like my chest is like gonna crush,"и знаете ли, это ощущается, как будто моя грудь будет раздавлена"
CMU_1:26,and you know people cough on me all the time,"и знаете, люди постоянно кашляют на меня"
CMU_1:27,and you're having chest pain,и вы испытываете боль в грудной клетке
CMU_1:28,and your symptoms do not go away in five days,и ваши симптомы не проходят в течение пяти дней
CMU_1:29,and you said this is a pressure in your chest,"и вы сказали, что это давление в грудной клетке"
CMU_1:30,anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure,"кто-нибудь в семье имеет проблемы с сердцем, порок сердца, инфаркт миокарда, высокий уровень холестерина, высокое артериальное давление"
CMU_1:31,any other symptoms or problems that you notice with the muscle aches?,"какие-либо другие симптомы или проблемы, замеченные вами и связанные с мышечной болью?"
CMU_1:32,any sharp pain on your left side of your chest?,какая-либо острая боль в левой стороне вашей грудной клетки?
CMU_1:33,are there other people sick as you at home with your same symptoms?,есть ли у вас дома другие больные с такими же симптомами?
CMU_1:34,are you having any difficulty breathing now,тяжело ли вам сейчас дышать
CMU_1:35,are you having any other symptoms?,имеются ли у вас какие-либо другие симптомы?
CMU_1:36,are you having any shortness of breath?,испытываете ли вы сейчас одышку?
CMU_1:37,are you still having the chest pain,испытываете ли вы по-прежнему боль в грудной клетке
CMU_1:38,because this is flu season,поскольку это сезон гриппа
CMU_1:39,besides the diabetes do you have other problems or important diseases?,"есть ли у вас какие-либо другие проблемы или серьезные заболевания, помимо диабета?"
CMU_1:40,but also we shouldn't be put aside for the heart cardiac origin chest pain,"но мы также не должны остаться без внимания из-за наличия боли в грудной клетке, имеющей кардиологическую природу"
CMU_1:41,but a more important problem now is this chest pain,однако сейчас более важной проблемой является эта боль в грудной клетке
CMU_1:42,but if you have the cough,но если вы кашляете
CMU_1:43,but i have difficulty breathing,но у меня затруднено дыхание
CMU_1:44,but i know lot of people cough on me,"но я знаю, что много людей кашляет на меня"
CMU_1:45,but we need to treat every chest pain with the utmost seriousness,но мы должны подходить к лечению любой боли в грудной клетке с максимальной серьезностью
CMU_1:46,but you're breathing all right right now right?,"но вы дышите сейчас хорошо, так ведь?"
CMU_1:47,'cause of this chest pain i totally forgot,поскольку об этой боли в грудной клетке я уже не помню
CMU_1:48,'cause they're having a cough,поскольку они кашляют
CMU_1:49,does it feel like somebody squeezing your chest,"похоже ли это на то, что как будто кто-то сжимает вашу грудную клетку"
CMU_1:50,do still feel like shortness of breath,вы все еще чувствуете одышку
CMU_1:51,do they complain of being sick similar symptoms?,жалуются ли они на наличие симптомов плохого самочувствия?
CMU_1:52,do you have any blood pressure problem as far as you know?,"насколько вам известно, имеются ли у вас какие-либо проблемы, связанные с артериальным давлением?"
CMU_1:53,do you have any other chronic like high blood pressure or anything like that?,"имеются ли у вас какие-либо другие хронические заболевания, такие как высокое артериальное давление или что-то подобное?"
CMU_1:54,do you have any other diseases chronic medical problems like diabetes?,"имеются ли у вас какие-либо другие хронические заболевания или медицинские проблемы, такие как диабет?"
CMU_1:55,do you have any shortness of breath with that chest pain?,испытываете ли вы одышку при этой боли в грудной клетке?
CMU_1:56,do you have high blood pressure?,имеется ли у вас высокое артериальное давление?
CMU_1:57,do you have some shortness of breath goes with that?,сопровождается ли у вас это одышкой?
CMU_1:58,do you know what symptoms she was having?,"знаете ли вы, какие у нее были симптомы?"
CMU_1:59,do your relatives have the same symptoms,имеются ли у ваших родственников такие же симптомы
CMU_1:60,do you see the image?,видите ли вы это изображение?
CMU_1:61,drink plenty of fluids today,пейте сегодня много жидкости
CMU_1:62,have a dry cough a cold and runny nose vomiting diarrhea,"имеется сухой кашель, простуда и насморк, рвота, диарея"
CMU_1:63,however i take tests for the diabetes,однако я прохожу тесты на диабет
CMU_1:64,however she has symptoms quite similar to mine,"однако у нее были симптомы в точности, как у меня"
CMU_1:65,how high is your fever?,насколько высокая у вас температура?
CMU_1:66,how' s your blood pressure?,какое у вас артериальное давление?
CMU_1:67,i don't think i have high blood pressure,"не думаю, что у меня высокое артериальное давление"
CMU_1:68,i feel a pain in the chest here in the front part of the chest,"я ощущаю боль в груди, здесь в передней части грудной клетки"
CMU_1:69,if you continue to have high fevers,если у вас по-прежнему будет высокая температура
CMU_1:70,if you have a fever of a hundred and two or higher,если у вас температура тридцать восемь и девять или выше
CMU_1:71,if you think that your symptoms or problems warrant a better look,"если вы думаете, что ваши симптомы или проблемы гарантируют улучшение внешнего вида"
CMU_1:72,i got a fever yesterday,у меня вчера поднялась температура
CMU_1:73,i got a slight fever too,у меня вчера также немного поднялась температура
CMU_1:74,i had a fever yesterday,у меня вчера была температура
CMU_1:75,i had a short sharp pain in my chest,у меня возникла кратковременная резкая боль в грудной клетке
CMU_1:76,i have a sharp pain here in the chest,я испытываю здесь в грудной клетке резкую боль
CMU_1:77,i have hay fever though too,однако у меня есть аллергия на пыльцу
CMU_1:78,i have made on the body around the chest area?,у меня есть высыпания на теле на груди?
CMU_1:79,i have some difficulty breathing too,у меня также немного затруднено дыхание
CMU_1:80,i'll send you an image,я отправлю вам изображение
CMU_1:81,i'm having some chest pain today,я сегодня испытываю некоторую боль в груди
CMU_1:82,i'm just having some headaches and some fever today,у меня сегодня немного болит голова и поднялась температура
CMU_1:83,in my opinion it is flu,"по-моему, это грипп"
CMU_1:84,in my opinion this is a little flu,"по-моему, это грипп в легкой форме"
CMU_1:85,i see it going from the center of your chest going up to your neck,"как я понимаю, это перемещается из центра вашей груди и поднимается вверх к вашей шее"
CMU_1:86,is it like some heavy heavy person sitting on your chest?,"напоминает ли это, что как будто очень-очень тяжелый человек сидит у вас на шее?"
CMU_1:87,it all started with the headaches and with the fever about the same time,все это началось почти одновременно с головной боли и повышения температуры
CMU_1:88,it hurts in the chest,мне больно в груди
CMU_1:89,it hurts in the middle of my chest,я испытываю боль в центре груди
CMU_1:90,it is a pressure like chest pain,"это давит, как боль в грудной клетке"
CMU_1:91,it is in my chest,это у меня в груди
CMU_1:92,it is in the center of my chest,это в центре моей грудной клетки
CMU_1:93,it is in the center of the chest,это в центре грудной клетки
CMU_1:94,it is occurring right in the middle of my chest,это произошло как раз в центре моей грудной клетки
CMU_1:95,it is right in the center of my chest,это прямо в центре моей грудной клетки
CMU_1:96,it sounds like you just may have the garden variety cold or a flu,"похоже, что у вас заурядная простуда или грипп"
CMU_1:97,i've got pain in my chest,у меня возникла боль в груди
CMU_1:98,i've very concerned of this chest pain,меня очень беспокоит эта боль в груди
CMU_1:99,i want you to tell me in describing this chest pain,"я хочу, чтобы вы описали мне эту боль в груди"
CMU_1:100,i will send you an image,я отправлю вам изображение
CMU_1:101,i will send you an image on your screen,я отправлю изображение на ваш экран
CMU_1:102,like high blood pressure or diabetes,как высокое артериальное давление или диабет
CMU_1:103,like right in the center of the chest,как точно в центре грудной клетки
CMU_1:104,most of the time it is this type of chest pain,чаще всего это данный тип грудной боли
CMU_1:105,my sister has similar symptoms,у моей сестры аналогичные симптомы
CMU_1:106,now for the fever you can take a tachipirina sweet,от высокой температуры вы можете сейчас принимать тахипирин в форме леденцов
CMU_1:107,now i send you an image,сейчас я отправлю вам изображение
CMU_1:108,now mary how many days have you had the symptoms,"а сейчас, Мери, скажите, в течение скольких дней у вас проявлялись эти симптомы"
CMU_1:109,now you said you have a chest pain,"сейчас вы сказали, что ощущаете боль в груди"
CMU_1:110,occasionally i have some chest pain,время от времени я ощущаю небольшую боль в груди
CMU_1:111,okay are you having any other symptoms along with this other than just the pain,"хорошо, проявляются ли у вас наряду с этим какие-либо другие симптомы помимо боли"
CMU_1:112,or if you have high blood pressure,или если у вас есть высокое артериальное давление
CMU_1:113,or somebody sitting on your chest?,или кто-то сидит на вашей груди?
CMU_1:114,pretty much the same with the fever and the cough headache and muscle pains,"точно такие же высокая температура и кашель, головная и мышечная боли"
CMU_1:115,right in the middle of my chest,боль непосредственно в центре моей груди
CMU_1:116,show me on this image where you feel the pain,"покажите мне на этом изображении, где вы ощущаете боль"
CMU_1:117,since you have a fever,поскольку у вас высокая температура
CMU_1:118,so do you think that some of these symptoms could be related to being pregnant?,"так вы думаете, что некоторые из этих симптомов могли бы быть связаны с беременностью?"
CMU_1:119,so your chest pain started this morning,"таким образом, вы начали ощущать боль в груди этим утром"
CMU_1:120,so your children are having some of the same symptoms?,"итак, у ваших детей проявляются некоторые из этих же симптомов?"
CMU_1:121,tell me about your chest pain,расскажите мне о вашей боли в грудной клетке
CMU_1:122,the fever increases at night,температура повышается ночью
CMU_1:123,the fever i've had for the last two days,"температура, которая была у меня в последние два дня"
CMU_1:124,the fever started to increase last night,температура начала повышаться прошлой ночью
CMU_1:125,the fever started two days ago,температура начала повышаться два дня назад
CMU_1:126,the muscle pains with the hay fever,мышечная боль с аллергией на пыльцу
CMU_1:127,this is doctor porter in the emergency room triage center,это доктор Портер в приемном покое пункта оказания помощи
CMU_1:128,well can you tell me a little bit more about your chest pain?,"хорошо, можете ли вы рассказать немного подробнее о боли у вас в груди?"
CMU_1:129,well from my point of view it is a little flu,"итак, с моей точки зрения, это грипп в легкой форме"
CMU_1:130,well i feel a pain in the front of my body here in my chest,"ну, я ощущаю боль в передней части моего тела, здесь, в груди"
CMU_1:131,well i've been having a strong pain in my chest,"ну, я ощущаю сильную боль в груди"
CMU_1:132,well madam from listening to your symptoms it sounds like you've got one of the flu viruses,"хорошо, мадам, анализ ваших симптомов позволяет заключить, что вы заразились одним из вирусов гриппа"
CMU_1:133,well when i have that pain in my chest,"итак, когда я ощущаю боль в груди"
CMU_1:134,what kinda pain do you have in your chest?,боль какого типа вы ощущаете в груди?
CMU_1:135,when this chest pain started?,когда вы начали ощущать эту боль в груди?
CMU_1:136,where do you have the pain in the chest?,где именно вы ощущаете боль в груди?
CMU_1:137,where you feel this chest pain eel this chest t,где именно вы ощущаете эту боль в груди
CMU_1:138,you are probably having chest pain,"вы, возможно, ощущаете боль в груди"
CMU_1:139,you feel like tightness on your chest,вы испытываете нечто подобное чувству стеснения у себя в груди
CMU_1:140,you know i got diabetes and stuff,"вы знаете, у меня есть диабет и все такое"
CMU_1:141,you said you're having this chest pain,"вы сказали, что испытываете эту боль в грудной клетке"
PubMed_6:142,"Rapidly increasing cumulative incidence of coronavirus disease (COVID-19) in the European Union/European Economic Area and the United Kingdom, 1 January to 15 March 2020",Быстро растущий показатель кумулятивной заболеваемости коронавирусной инфекцией (COVID-19) в Европейском союзе и в Великобритании в период с 1 января по 15 марта 2020 г.
